index,proba_exoplaneta,pred_binaria,pred_etiqueta,is_exoplanet,asymmetry_index_x,v_u_kurtosis_x,egress_slope_x,asymmetry_index_y,v_u_kurtosis_y,egress_slope_y,asymmetry_index,v_u_kurtosis,egress_slope,koi_period,koi_duration,koi_depth,koi_srad
0,0.9966666666666667,1,exoplaneta,True,0.2021382184139636,2.6867345507782088,0.0007152607022607,0.2021382184139636,2.6867345507782088,0.0007152607022607,0.2021382184139636,2.6867345507782088,0.0007152607022607,9.48803557,2.9575,615.8,0.927
1,0.9966666666666667,1,exoplaneta,True,0.2021382184139636,2.6867345507782088,0.0007152607022607,0.2021382184139636,2.6867345507782088,0.0007152607022607,0.2021382184139636,2.6867345507782088,0.0007152607022607,9.48803557,2.9575,615.8,0.927
2,1.0,1,exoplaneta,True,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,9.48803557,2.9575,615.8,0.927
3,1.0,1,exoplaneta,True,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,9.48803557,2.9575,615.8,0.927
4,1.0,1,exoplaneta,True,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,9.48803557,2.9575,615.8,0.927
5,1.0,1,exoplaneta,True,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,9.48803557,2.9575,615.8,0.927
6,1.0,1,exoplaneta,True,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,9.48803557,2.9575,615.8,0.927
7,1.0,1,exoplaneta,True,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,0.2075068627174967,2.3858170591257406,0.0033256034950781,9.48803557,2.9575,615.8,0.927
8,0.29333333333333333,0,no exoplaneta,False,0.8582623064551309,1.6447837903946332,,0.8582623064551309,1.6447837903946332,,0.8582623064551309,1.6447837903946332,,1.736952453,2.40641,8079.2,0.791
9,0.023333333333333334,0,no exoplaneta,False,0.1634443477118434,3.876038394374847,0.0419352940563955,0.1634443477118434,3.876038394374847,0.0419352940563955,0.1634443477118434,3.876038394374847,0.0419352940563955,1.736952453,2.40641,8079.2,0.791
10,0.023333333333333334,0,no exoplaneta,False,0.1634443477118434,3.876038394374847,0.0419352940563955,0.1634443477118434,3.876038394374847,0.0419352940563955,0.1634443477118434,3.876038394374847,0.0419352940563955,1.736952453,2.40641,8079.2,0.791
11,0.023333333333333334,0,no exoplaneta,False,0.1634443477118434,3.876038394374847,0.0419352940563955,0.1634443477118434,3.876038394374847,0.0419352940563955,0.1634443477118434,3.876038394374847,0.0419352940563955,1.736952453,2.40641,8079.2,0.791
12,0.8933333333333333,1,exoplaneta,True,0.0660676388902675,2.370115747549324,-0.0005827634480477,0.0660676388902675,2.370115747549324,-0.0005827634480477,0.0660676388902675,2.370115747549324,-0.0005827634480477,2.525591777,1.6545,603.3,1.046
13,0.8933333333333333,1,exoplaneta,True,0.0660676388902675,2.370115747549324,-0.0005827634480477,0.0660676388902675,2.370115747549324,-0.0005827634480477,0.0660676388902675,2.370115747549324,-0.0005827634480477,2.525591777,1.6545,603.3,1.046
14,0.8933333333333333,1,exoplaneta,True,0.0660676388902675,2.370115747549324,-0.0005827634480477,0.0660676388902675,2.370115747549324,-0.0005827634480477,0.0660676388902675,2.370115747549324,-0.0005827634480477,2.525591777,1.6545,603.3,1.046
15,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
16,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
17,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
18,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
19,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
20,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
21,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
22,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
23,1.0,1,exoplaneta,True,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,,2.9211540661840893,0.0182712480569662,11.09432054,4.5945,1517.5,0.972
24,0.03,0,no exoplaneta,False,0.3450749911617335,2.8518403973323565,0.0003727239403875,0.3450749911617335,2.8518403973323565,0.0003727239403875,0.3450749911617335,2.8518403973323565,0.0003727239403875,7.36178958,5.022,233.7,1.958
25,0.03,0,no exoplaneta,False,0.3450749911617335,2.8518403973323565,0.0003727239403875,0.3450749911617335,2.8518403973323565,0.0003727239403875,0.3450749911617335,2.8518403973323565,0.0003727239403875,7.36178958,5.022,233.7,1.958
26,0.03,0,no exoplaneta,False,0.3450749911617335,2.8518403973323565,0.0003727239403875,0.3450749911617335,2.8518403973323565,0.0003727239403875,0.3450749911617335,2.8518403973323565,0.0003727239403875,7.36178958,5.022,233.7,1.958
27,1.0,1,exoplaneta,True,,1.7511015583707883,0.0694032759577679,,1.7511015583707883,0.0694032759577679,,1.7511015583707883,0.0694032759577679,16.06864674,3.5347,4914.3,0.848
28,1.0,1,exoplaneta,True,,1.7511015583707883,0.0694032759577679,,1.7511015583707883,0.0694032759577679,,1.7511015583707883,0.0694032759577679,16.06864674,3.5347,4914.3,0.848
29,1.0,1,exoplaneta,True,,1.7511015583707883,0.0694032759577679,,1.7511015583707883,0.0694032759577679,,1.7511015583707883,0.0694032759577679,16.06864674,3.5347,4914.3,0.848
