loc_rowid,kepid,kepoi_name,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
9034,11134079,K07410.01,29.91,3.770e+00,-2.720e+00,1410.0,,,5.205900,0.023300,-0.023300,5388.00,160.00,-144.00,0.7150,0.0900,-0.0650,0.7010,0.0840,-0.0390
9035,11137061,K07411.01,0.59,1.000e-01,-5.000e-02,1248.0,,,3.110000,1.300000,-1.300000,5413.00,160.00,-144.00,0.7540,0.1220,-0.0710,0.7860,0.0920,-0.0690
9036,11144439,K07412.01,0.96,2.300e-01,-9.000e-02,1896.0,,,7.000000,3.100000,-3.100000,5595.00,186.00,-186.00,0.7960,0.1940,-0.0770,0.8900,0.0880,-0.1070
9037,7119481,K00566.02,1.10,3.500e-01,-1.100e-01,778.0,,,28.600000,13.400000,-13.400000,6122.00,182.00,-200.00,0.9640,0.3020,-0.1010,1.0410,0.1390,-0.1390
9038,11147276,K07413.01,49.66,1.295e+01,-5.980e+00,1551.0,,,4.185000,0.391000,-0.391000,5883.00,158.00,-175.00,0.9050,0.2360,-0.1090,0.8850,0.1090,-0.0890
9039,11154043,K07414.01,12.22,3.850e+00,-3.500e+00,2264.0,,,1.127100,0.085400,-0.085400,8912.00,249.00,-427.00,2.2990,0.7240,-0.6580,2.1640,0.3830,-0.5740
9040,11182260,K07415.01,10.97,1.030e+00,-1.030e+00,1249.0,,,5.750000,2.500000,-2.500000,4995.00,134.00,-149.00,0.6380,0.0600,-0.0600,0.6250,0.0660,-0.0310
9041,11187972,K07416.01,0.97,2.800e-01,-2.300e-01,677.0,,,57.000000,24.700000,-24.700000,6266.00,197.00,-241.00,1.3420,0.3840,-0.3140,1.0600,0.1810,-0.1310
9042,4548011,K04288.03,0.58,1.000e-01,-8.000e-02,1254.0,,,7.050000,1.900000,-1.900000,5888.00,105.00,-130.00,1.2270,0.2140,-0.1700,1.0360,0.0850,-0.0750
9043,2852941,K04298.02,,,,,,,,,,,,,,,,,,
9044,8773015,K04301.02,1.04,2.100e-01,-3.200e-01,1369.0,,,11.520000,4.500000,-4.500000,6254.00,174.00,-212.00,1.7060,0.3490,-0.5240,1.1100,0.1950,-0.1600
9045,9883606,K04383.02,0.77,2.500e-01,-1.000e-01,1470.0,,,8.940000,2.700000,-2.700000,6164.00,165.00,-220.00,1.0900,0.3500,-0.1500,1.0320,0.1670,-0.1110
9046,9597729,K04417.02,22.24,6.660e+00,-2.220e+00,1911.0,,,1.447000,0.722000,-0.722000,6032.00,0.00,0.00,0.9290,0.2780,-0.0930,0.0000,0.0000,0.0000
9047,9836563,K04421.02,0.62,1.200e-01,-8.000e-02,1079.0,,,10.810000,5.400000,-5.400000,5950.00,71.00,-83.00,1.1960,0.2350,-0.1570,1.1000,0.0770,-0.0700
9048,6508221,K00416.04,0.74,7.000e-02,-2.000e-02,461.0,,,69.400000,32.900000,-32.900000,5183.00,106.00,-99.00,0.7390,0.0630,-0.0290,0.8180,0.0370,-0.0670
9049,9100953,K04500.03,1.70,2.800e-01,-1.700e-01,629.0,,,34.600000,15.000000,-15.000000,5295.00,185.00,-185.00,0.8000,0.1330,-0.0820,0.8250,0.0960,-0.0780
9050,3830820,K06360.01,14.00,4.400e-01,-6.600e-01,397.0,,,30.807000,0.994000,-0.994000,3849.00,50.00,-50.00,0.5460,0.0170,-0.0260,0.5490,0.0250,-0.0200
9051,3831523,K06361.01,2.26,4.700e-01,-1.100e+00,2550.0,,,1.013469,,,6438.00,181.00,-227.00,2.2660,0.4720,-1.1010,1.2630,0.1930,-0.2650
9052,3834364,K06362.01,40.85,6.520e+00,-4.870e+00,1153.0,,,8.550000,2.800000,-2.800000,5631.00,166.00,-166.00,0.7640,0.1220,-0.0910,0.7020,0.0920,-0.0290
9053,3836413,K06363.01,48.81,0.000e+00,0.000e+00,1576.0,,,4.161000,0.278000,-0.278000,5780.00,,,1.0000,,,1.0000,,
9054,3836439,K06364.01,117.33,2.251e+01,-4.877e+01,2850.0,,,4.401500,0.072400,-0.072400,7394.00,233.00,-311.00,2.2830,0.4380,-0.9490,1.5020,0.1920,-0.3570
9055,3838004,K06365.01,2.43,9.600e-01,-1.450e+00,1797.0,,,40.100000,17.100000,-17.100000,5313.00,175.00,-159.00,2.0950,0.8350,-1.2530,1.0950,0.1810,-0.2490
9056,3851134,K06366.01,0.93,3.300e-01,-1.200e-01,2205.0,,,2.902000,0.542000,-0.542000,6469.00,154.00,-212.00,1.1930,0.4310,-0.1440,1.2600,0.1840,-0.1840
9057,3851193,K06367.01,41.80,1.365e+01,-5.830e+00,1968.0,,,3.476400,0.025100,-0.025100,6368.00,160.00,-208.00,1.2250,0.4000,-0.1710,1.1510,0.1880,-0.1570
9058,9595956,K07604.01,,,,,,,,,,,,,,,,,,
9059,9655792,K07605.01,2.03,7.700e-01,-1.800e-01,217.0,,,337.500000,89.100000,-89.100000,6003.00,153.00,-193.00,0.9320,0.3560,-0.0830,1.0190,0.1200,-0.1310
9060,9970396,K07606.01,82.92,4.769e+01,-2.959e+01,585.0,,,22.782000,0.338000,-0.338000,4894.00,123.00,-119.00,5.5680,3.2020,-1.9870,1.0510,0.4380,-0.1400
9061,10079420,K07607.01,,,,,,,,,,,,,,,,,,
9062,10253638,K07608.01,,,,,,,,,,,,,,,,,,
9063,10267121,K07609.01,1.30,4.200e-01,-1.400e-01,600.0,,,17.320000,2.300000,-2.300000,6258.00,169.00,-225.00,1.0460,0.3350,-0.1120,1.1020,0.1440,-0.1580
9064,10341777,K07610.01,0.36,8.000e-02,-3.000e-02,1893.0,,,2.165000,0.603000,-0.603000,6302.00,171.00,-190.00,0.8150,0.1850,-0.0620,0.8310,0.0640,-0.0640
9065,10407271,K07611.01,0.63,1.100e-01,-7.000e-02,1678.0,,,1.505000,0.646000,-0.646000,5611.00,184.00,-151.00,0.7870,0.1450,-0.0850,0.7640,0.1020,-0.0550
9066,10471167,K07612.01,0.84,6.000e-02,-8.000e-02,1371.0,,,1.784000,0.691000,-0.691000,4753.00,170.00,-170.00,0.7170,0.0570,-0.0630,0.7200,0.0710,-0.0580
9067,10471174,K07613.01,0.78,2.100e-01,-7.000e-02,1680.0,,,1.536000,0.634000,-0.634000,5619.00,169.00,-186.00,0.8380,0.2200,-0.0730,0.9270,0.0940,-0.1040
9068,10471345,K07614.01,0.60,1.200e-01,-4.000e-02,1625.0,,,2.040000,0.922000,-0.922000,5649.00,169.00,-169.00,0.7410,0.1520,-0.0540,0.8410,0.0790,-0.0970
9069,11296798,K07615.01,7.12,1.640e+00,-2.950e+00,388.0,,,310.000000,149.000000,-149.000000,6335.00,177.00,-229.00,3.5230,0.8150,-1.4600,1.7740,0.2050,-0.4240
9070,11463950,K07616.01,3.13,5.000e-01,-7.500e-01,2013.0,,,2.680000,1.100000,-1.100000,7064.00,74.00,-95.00,2.5310,0.4050,-0.6070,1.8060,0.0900,-0.2170
9071,11559304,K07617.01,0.64,1.100e-01,-1.200e-01,343.0,,,39.100000,5.400000,-5.400000,3578.00,63.00,-76.00,0.3750,0.0600,-0.0700,0.4010,0.0800,-0.0700
9072,11621897,K07618.01,0.89,2.900e-01,-9.000e-02,713.0,,,22.410000,9.100000,-9.100000,6297.00,169.00,-206.00,1.0310,0.3350,-0.1120,1.0840,0.1580,-0.1440
9073,12253534,K07619.01,2.13,1.070e+00,-6.300e-01,305.0,,,151.500000,60.600000,-60.600000,6098.00,153.00,-185.00,1.5900,0.7920,-0.4690,1.1520,0.3020,-0.1680
9074,12304202,K07620.01,,,,,,,,,,,,,,,,,,
9075,4735826,K03184.03,0.60,1.100e-01,-1.100e-01,1337.0,,,7.400000,3.100000,-3.100000,5788.00,115.00,-115.00,1.3760,0.2320,-0.2580,1.0390,0.1060,-0.0730
9076,9291039,K03230.02,0.71,1.400e-01,-1.200e-01,1323.0,,,2.687224,,,6017.00,163.00,-181.00,1.2100,0.2450,-0.2000,1.0640,0.1380,-0.1260
9077,10155321,K04422.02,3.92,2.450e+00,-6.300e-01,3318.0,,,1.020000,0.510000,-0.510000,7454.00,237.00,-310.00,1.8530,1.1590,-0.3000,1.6020,0.3600,-0.2220
9078,5003670,K04524.03,1.20,1.800e-01,-9.000e-02,1205.0,,,3.920000,1.900000,-1.900000,5700.00,77.00,-77.00,1.0060,0.1480,-0.0790,1.0030,0.0560,-0.0620
9079,4953173,K04676.02,44.77,9.420e+00,-2.359e+01,1840.0,,,1.176000,0.143000,-0.143000,5947.00,214.00,-214.00,2.4070,0.5070,-1.2680,1.3780,0.1810,-0.3630
9080,8973285,K04782.02,3.66,1.130e+00,-3.700e-01,1144.0,,,2.090000,1.000000,-1.000000,6032.00,189.00,-232.00,0.9730,0.3000,-0.1000,1.0550,0.1390,-0.1530
9081,2861126,K04957.02,0.73,6.000e-02,-8.000e-02,485.0,,,23.900000,4.000000,-4.000000,3606.00,57.00,-72.00,0.3950,0.0360,-0.0440,0.4130,0.0370,-0.0470
9082,6363560,K05270.02,0.55,1.900e-01,-6.000e-02,2012.0,,,4.190000,1.900000,-1.900000,6210.00,150.00,-206.00,1.0140,0.3350,-0.1120,1.0670,0.1440,-0.1440
9083,7539174,K05397.02,45.69,5.880e+00,-1.092e+01,706.0,,,105.300000,52.100000,-52.100000,4916.00,71.00,-139.00,10.8010,1.3920,-2.5810,1.5870,0.3840,-0.6770
9084,7935997,K05447.02,0.68,9.000e-02,-3.000e-02,1081.0,,,12.897000,0.281000,-0.281000,5713.00,68.00,-85.00,0.8930,0.1250,-0.0330,1.0100,0.0430,-0.0730
