loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2
7473,8121067,K06050.01,,FALSE POSITIVE,0,1,1,2.064900876,1.233e-06,-1.233e-06,132.874485,0.000474,-0.000474,2454965.874,0.000474,-0.000474,1.253,0.063,-0.057,6.8769,0.0299,-0.0299,,,,10939.0,36.8,-36.8,364.0,5714.0,152.0,-169.0,0.901,0.254,-0.091
7474,6197038,K06144.01,,FALSE POSITIVE,0,1,0,9.751720174,2.489e-06,-2.489e-06,138.538319,0.000205,-0.000205,2454971.538,0.000205,-0.000205,0.15,0.009,-0.009,16.1937,0.0156,-0.0156,,,,332900.0,268.0,-268.0,1767.3,5147.0,129.0,-116.0,3.145,1.465,-0.976
7475,6221385,K06145.01,Kepler-1641 b,CONFIRMED,0,0,0,19.672324,0.001116,-0.001116,134.3013,0.0692,-0.0692,2454967.301,0.0692,-0.0692,0.721,0.01,-0.538,4.812,0.181,-0.181,,,,649.9,33.9,-33.9,20.6,6486.0,181.0,-227.0,1.485,0.402,-0.402
7476,6221385,K06145.02,Kepler-1641 c,CONFIRMED,0,0,0,32.657035,0.003033,-0.003033,152.881,0.114,-0.114,2454985.881,0.114,-0.114,0.007,0.431,-0.007,5.953,0.239,-0.239,,,,620.4,37.1,-37.1,17.9,6486.0,181.0,-227.0,1.485,0.402,-0.402
7478,6362386,K06146.01,,FALSE POSITIVE,0,1,0,4.592401261,1.12e-07,-1.12e-07,133.139791,1.98e-05,-1.98e-05,2454966.14,1.98e-05,-1.98e-05,0.272,0.002,-0.002,4.96038,0.00157,-0.00157,,,,87426.0,18.3,-18.3,5784.8,7201.0,228.0,-314.0,1.724,0.546,-0.364
7479,8260269,K07877.01,,FALSE POSITIVE,0,0,1,6.70995253,5.509e-05,-5.509e-05,134.02352,0.0063,-0.0063,2454967.024,0.0063,-0.0063,0.616,0.349,-0.404,2.297,0.2,-0.2,,,,86.0,10.3,-10.3,9.8,6461.0,145.0,-193.0,1.131,0.339,-0.145
7480,6449358,K06147.01,,FALSE POSITIVE,0,1,0,5.776794344,1.3e-07,-1.3e-07,133.6275034,1.84e-05,-1.84e-05,2454966.628,1.84e-05,-1.84e-05,0.366,0.001,-0.001,6.33505,0.00134,-0.00134,,,,121540.0,18.9,-18.9,8022.8,7666.0,212.0,-334.0,3.601,0.725,-1.571
7481,6593968,K06148.01,,FALSE POSITIVE,1,0,0,23.19923256,,,146.6907294,,,2454979.691,,,,,,2.09,,,,,,,,,,,,,,,
7482,6674908,K06149.01,,FALSE POSITIVE,0,0,1,0.503199724,2.677e-06,-2.677e-06,131.90627,0.00457,-0.00457,2454964.906,0.00457,-0.00457,0.492,0.477,-0.294,1.117,0.187,-0.187,,,,275.6,36.9,-36.9,10.1,4013.0,140.0,-154.0,0.63,0.029,-0.064
7483,11516930,K06240.01,,FALSE POSITIVE,0,1,1,4.768540307,,,133.8648842,,,2454966.865,,,0.806,,,0.9938,,,,,,347.6,,,4.0,5491.0,164.0,-164.0,0.887,0.235,-0.137
7484,11558882,K06241.01,,FALSE POSITIVE,0,1,0,73.91858615,2.302e-05,-2.302e-05,154.696798,0.000291,-0.000291,2454987.697,0.000291,-0.000291,1.137,0.073,-0.109,6.9735,0.0201,-0.0201,,,,184070.0,260.0,-260.0,933.5,6300.0,169.0,-225.0,1.057,0.349,-0.14
7487,8042835,K07862.01,,FALSE POSITIVE,1,0,0,2.38793696,3.557e-05,-3.557e-05,133.22902,0.0085,-0.0085,2454966.229,0.0085,-0.0085,1.193,0.138,-0.133,17.302,0.735,-0.735,,,,114.3,3.8,-3.8,41.7,6769.0,165.0,-259.0,1.161,0.333,-0.119
7488,2853780,K02081.02,,FALSE POSITIVE,1,0,0,589.17968,0.04256,-0.04256,185.0175,0.0518,-0.0518,2455018.018,0.0518,-0.0518,0.0431,0.4354,-0.043,10.2,2.3,-2.3,,,,253.4,37.9,-37.9,7.7,5295.0,191.0,-211.0,3.152,1.403,-1.594
7491,11673686,K06243.01,,FALSE POSITIVE,0,1,0,4.618767943,1.1e-06,-1.1e-06,133.386655,0.000197,-0.000197,2454966.387,0.000197,-0.000197,0.004,0.117,-0.004,6.03,0.0105,-0.0105,,,,32609.0,55.8,-55.8,674.9,6195.0,169.0,-187.0,1.781,0.44,-0.816
7492,8153568,K06051.01,,FALSE POSITIVE,0,1,0,3.60727417,2.128e-05,-2.128e-05,133.77548,0.00828,-0.00828,2454966.775,0.00828,-0.00828,0.463,0.015,-0.014,14.0841,0.0439,-0.0439,,,,841900.0,1513.0,-1513.0,710.9,7026.0,216.0,-312.0,1.785,0.478,-0.531
7493,8167938,K06052.01,,FALSE POSITIVE,1,0,0,2.565717939,3.126e-06,-3.126e-06,133.22148,0.00101,-0.00101,2454966.221,0.00101,-0.00101,1.313,6.909,-0.321,1.7084,0.052,-0.052,,,,1941.7,52.1,-52.1,45.8,11360.0,587.0,-1762.0,4.712,0.568,-2.273
7494,8167978,K06053.01,,FALSE POSITIVE,0,1,0,22.05274533,1.036e-05,-1.036e-05,151.552457,0.000382,-0.000382,2454984.552,0.000382,-0.000382,1.247,0.166,-0.156,5.5924,0.0202,-0.0202,,,,13858.0,47.1,-47.1,343.5,5510.0,192.0,-192.0,0.741,0.149,-0.064
7495,8168581,K06054.01,,FALSE POSITIVE,0,1,0,2.881338104,3.282e-06,-3.282e-06,132.909319,0.000961,-0.000961,2454965.909,0.000961,-0.000961,1.271,4.206,-0.04,3.5943,0.0408,-0.0408,,,,2533.7,27.3,-27.3,111.3,5783.0,163.0,-204.0,0.88,0.262,-0.082
7496,8230809,K06055.01,,FALSE POSITIVE,0,1,0,4.078355243,2.454e-06,-2.454e-06,132.160073,0.00051,-0.00051,2454965.16,0.00051,-0.00051,0.368,0.047,-0.033,6.4649,0.0422,-0.0422,,,,36133.0,141.0,-141.0,310.0,5872.0,177.0,-195.0,0.867,0.221,-0.102
7497,8364115,K06056.01,,FALSE POSITIVE,0,1,1,7.73590441,1.812e-05,-1.812e-05,137.98785,0.0021,-0.0021,2454970.988,0.0021,-0.0021,1.205,6.812,-0.102,4.4389,0.0994,-0.0994,,,,465.3,9.5,-9.5,59.5,5927.0,141.0,-159.0,0.86,0.264,-0.07
7498,8458207,K06057.01,,FALSE POSITIVE,0,1,0,3.530164642,5.82e-07,-5.82e-07,134.77535,0.000136,-0.000136,2454967.775,0.000136,-0.000136,0.019,0.16,-0.019,4.11466,0.00974,-0.00974,,,,69923.0,118.0,-118.0,731.2,6208.0,167.0,-223.0,1.344,0.424,-0.283
7501,4150624,K01334.02,,FALSE POSITIVE,1,0,1,94.225938,0.002368,-0.002368,196.1319,0.0193,-0.0193,2455029.132,0.0193,-0.0193,0.213,0.232,-0.213,22.08,0.532,-0.532,,,,530.4,22.1,-22.1,25.4,5421.0,164.0,-164.0,0.852,0.198,-0.062
7503,6967278,K06152.01,,FALSE POSITIVE,0,1,0,395.07333,0.01044,-0.01044,244.4858,0.0227,-0.0227,2455077.486,0.0227,-0.0227,0.013,0.421,-0.013,7.844,0.556,-0.556,,,,645.1,48.0,-48.0,16.4,3599.0,80.0,-98.0,98.38,3.247,-18.397
7504,7108433,K06153.01,,FALSE POSITIVE,0,1,0,1.51918335,1.034e-06,-1.034e-06,131.913532,0.000692,-0.000692,2454964.914,0.000692,-0.000692,0.336,0.017,-0.012,5.45573,0.00804,-0.00804,,,,499990.0,796.0,-796.0,899.3,7426.0,233.0,-311.0,1.698,0.458,-0.458
7505,7119080,K06154.01,,FALSE POSITIVE,1,0,0,13.59940118,,,133.0874188,,,2454966.087,,,,,,2.52,,,,,,,,,,,,,,,
7506,7129465,K06155.01,,FALSE POSITIVE,0,1,0,2.745910734,1.72e-07,-1.72e-07,133.1719105,5.15e-05,-5.15e-05,2454966.172,5.15e-05,-5.15e-05,0.639,0.009,-0.007,4.02594,0.00177,-0.00177,,,,286810.0,120.0,-120.0,1550.9,5372.0,177.0,-160.0,0.96,0.273,-0.168
7507,7174617,K06156.01,,FALSE POSITIVE,0,1,0,1.608363345,3.6e-07,-3.6e-07,131.58432,0.000187,-0.000187,2454964.584,0.000187,-0.000187,0.608,0.025,-0.032,2.1988,0.0125,-0.0125,,,,96134.0,486.0,-486.0,312.3,5022.0,151.0,-151.0,0.589,0.041,-0.037
7508,11724210,K06244.01,,FALSE POSITIVE,0,1,0,5.746017234,1.581e-06,-1.581e-06,132.042549,0.000226,-0.000226,2454965.043,0.000226,-0.000226,1.008,0.63,-0.076,3.6347,0.014,-0.014,,,,29236.0,87.4,-87.4,393.9,5940.0,160.0,-178.0,0.96,0.279,-0.139
7512,11867071,K06247.01,,FALSE POSITIVE,0,1,0,3.963787093,2.824e-06,-2.824e-06,135.029951,0.000634,-0.000634,2454968.03,0.000634,-0.000634,0.95,0.085,-0.001,3.10316,0.00845,-0.00845,,,,25015.0,55.7,-55.7,584.8,6617.0,186.0,-255.0,1.18,0.412,-0.137
7513,11975363,K06248.01,,FALSE POSITIVE,0,1,0,1.759208679,1.16e-07,-1.16e-07,132.6537254,5.38e-05,-5.38e-05,2454965.654,5.38e-05,-5.38e-05,0.548,0.007,-0.007,4.60837,0.00322,-0.00322,,,,362330.0,221.0,-221.0,1967.2,5721.0,173.0,-190.0,0.961,0.281,-0.12
7514,12207117,K06249.01,,FALSE POSITIVE,1,0,0,1.6031794,,,131.5678,,,2454964.568,,,,,,0.91,,,,,,,,,,,,,,,
